UniProt_accession,Protein_name,Gene,Length
A0ABR0TV84,Uncharacterized protein,QM012_000276,249
A0ABR0TV91,Enoyl reductase (ER) domain-containing protein,QM012_000236,2279
A0ABR0TVA0,Mediator of RNA polymerase II transcription subunit 18,MED18,246
A0ABR0TVD1,Dienelactone hydrolase domain-containing protein,QM012_000245,269
A0ABR0TW93,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_000008,496
A0ABR0TWB1,FUN14-domain-containing protein,QM012_000280,154
A0A1A7MNZ9,Histone H4,QM012_008593,103
A0ABR0T4G2,Biotin-protein ligase N-terminal domain-containing protein,QM012_005493,289
A0ABR0T4L8,HMG box domain-containing protein,QM012_005495,394
A0ABR0T4N4,Cytochrome P450,QM012_005617,439
A0ABR0T4S5,L domain-like protein,QM012_005555,234
A0ABR0T5B5,Rhodopsin domain-containing protein,QM012_005290,346
A0ABR0T5C5,Phosphotyrosine protein phosphatase I domain-containing protein,QM012_005254,180
A0ABR0T5D6,GDSL lipase/acylhydrolase family protein,QM012_005297,327
A0ABR0T5I7,Collagen-like protein,QM012_005502,421
A0ABR0T5M1,Uncharacterized protein,QM012_005367,180
A0ABR0T5U8,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_005168,603
A0ABR0T606,acetylornithine transaminase,QM012_005427,480
A0ABR0T6P0,Translation machinery-associated protein 22,QM012_004094,197
A0ABR0T6Q2,Peroxisomal trans-2-enoyl-CoA reductase,QM012_004109,305
A0ABR0T6Z0,MFS general substrate transporter,QM012_003845,531
A0ABR0T724,DUF967 domain protein,QM012_004027,180
A0ABR0T753,Pre-mRNA-processing factor 39,QM012_003895,544
A0ABR0T7Z9,Amino acid permease/ SLC12A domain-containing protein,QM012_003615,564
A0ABR0T812,tRNA (guanine(37)-N1)-methyltransferase,TRM5,479
A0ABR0T855,Fibronectin type III-like domain-containing protein,QM012_003837,168
A0ABR0T896,Maleylacetoacetate isomerase,QM012_003386,215
A0ABR0T8S0,Rad21/Rec8-like protein N-terminal domain-containing protein,QM012_003567,598
A0ABR0T9F3,Apple domain-containing protein,QM012_003807,790
A0ABR0TA24,Sec23/Sec24 family protein,QM012_003591,993
A0ABR0TA58,General transcription and DNA repair factor IIH subunit TFB5,QM012_002655,72
A0ABR0TAC4,PRTase-like protein,QM012_003155,204
A0ABR0TAK2,Sterol 24-C-methyltransferase,QM012_003078,379
A0ABR0TAN5,Uncharacterized protein,QM012_002834,217
A0ABR0TAQ7,GTP-binding protein ypt1,QM012_002861,201
A0ABR0TAW0,Btz domain-containing protein,QM012_002909,649
A0ABR0TB68,2EXR domain-containing protein,QM012_002178,252
A0ABR0TBN9,Large ribosomal subunit protein uL22,QM012_002348,187
A0ABR0TC87,acetyl-CoA C-acyltransferase,QM012_002237,414
A0ABR0TCK2,Uncharacterized protein,QM012_001802,665
A0ABR0TCS2,Hypervirulence associated protein TUDOR domain-containing protein,QM012_002270,229
A0ABR0TCV1,Uncharacterized protein,QM012_001906,79
A0ABR0TCV8,Chromatin modification-related protein EAF3,QM012_001765,321
A0ABR0TD17,RBR-type E3 ubiquitin transferase,QM012_002360,542
A0ABR0TD24,Aminotransferase class I/classII large domain-containing protein,QM012_001986,423
A0ABR0TD44,Brl1/Brr6 domain-containing protein,QM012_002325,479
A0ABR0TE23,Amine oxidase,QM012_001234,696
A0ABR0TE65,40S ribosomal protein S12,QM012_001478,150
A0ABR0TE77,Amidase,QM012_002105,408
A0ABR0TE91,Mediator of RNA polymerase II transcription subunit 31,QM012_001469,107
A0ABR0TF22,Nuclear movement protein nudC,QM012_000864,191
A0ABR0TFD6,Uncharacterized protein,QM012_001491,573
A0ABR0TFP6,Uncharacterized protein,QM012_001022,523
A0ABR0TFY7,Uncharacterized protein,QM012_001188,700
A0ABR0TG49,Carboxylic ester hydrolase,QM012_000780,452
A0ABR0TGE9,Homeobox domain-containing protein,QM012_009283,587
A0ABR0TGS6,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring),QM012_001081,294
A0ABR0TH18,NIC-domain-containing protein,QM012_009499,1112
A0ABR0THE0,AB hydrolase-1 domain-containing protein,QM012_001180,289
A0ABR0THJ0,"galacturonan 1,4-alpha-galacturonidase",QM012_009578,459
A0ABR0TI91,Pali-domain-containing protein,QM012_009009,457
A0ABR0TIW4,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_008199,678
A0ABR0TJ00,Acetoacetate-CoA ligase,QM012_008287,682
A0ABR0TJ23,Nucleotide-diphospho-sugar transferase,QM012_008805,491
A0ABR0TJ72,HhH-GPD domain-containing protein,QM012_008366,395
A0ABR0TJP9,FAD dependent oxidoreductase domain-containing protein,QM012_008543,467
A0ABR0TJR7,histone acetyltransferase,QM012_008560,545
A0ABR0TK94,P450 monooxygenase,QM012_007608,453
A0ABR0TKD2,Acetyl-CoA synthetase-like protein,QM012_008566,607
A0ABR0TKF2,MARVEL domain-containing protein,QM012_007712,308
A0ABR0TKK3,Uncharacterized protein,QM012_007762,140
A0ABR0TKW9,60S ribosomal protein L27,QM012_008598,135
A0ABR0TL82,CRIB domain-containing protein,QM012_007985,1089
A0ABR0TL98,BZIP domain-containing protein,QM012_008003,470
A0ABR0TLB9,Mitochondrial import inner membrane translocase subunit TIM54,QM012_008014,471
A0ABR0TLH4,Carboxylic ester hydrolase,QM012_008028,537
A0ABR0TM45,Peptidyl-prolyl cis-trans isomerase-like 2,QM012_007769,551
A0ABR0TM72,Uncharacterized protein,QM012_007181,274
A0ABR0TMG3,Protein kinase domain-containing protein,QM012_007066,1290
A0ABR0TMX1,UDP-Glycosyltransferase/glycogen phosphorylase,QM012_007425,845
A0ABR0TNJ1,Ketoreductase domain-containing protein,QM012_007308,252
A0ABR0TQ83,Dak1-domain-containing protein,QM012_007023,592
A0ABR0TQA8,Signaling mucin MSB2,QM012_006476,1448
A0ABR0TQM8,Decaprenyl-diphosphate synthase subunit 1,QM012_005756,440
A0ABR0TR47,Uncharacterized protein,QM012_005941,165
A0ABR0TR50,GPI anchored protein,QM012_005937,174
A0ABR0TR64,Pleckstrin homology domain-containing protein,QM012_005767,1195
A0ABR0TRP7,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_006126,575
A0ABR0TRP9,Adenosine kinase,QM012_006136,342
A0ABR0TRW7,GH16 domain-containing protein,QM012_005889,407
A0ABR0TS28,Mitochondrial carrier,QM012_006254,328
A0ABR0TT41,Peptidase A1 domain-containing protein,QM012_004438,532
A0ABR0TTL9,Glycosyltransferase family 2 protein,QM012_006248,433
A0ABR0TTN7,Catalase,QM012_006213,740
A0ABR0TU46,tRNA-binding domain-containing protein,QM012_004234,458
A0ABR0TUA0,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_004796,489
A0ABR0TV22,Uncharacterized protein,QM012_004530,91
A0ABR0TV26,"3-carboxy-cis,cis-mucoante lactonizing enzyme",QM012_000140,400
A0ABR0TV79,DUF7907 domain-containing protein,QM012_000292,204
A0ABR0TVR0,SET domain-containing protein,QM012_000481,369
A0ABR0TVZ1,dolichyl-phosphate beta-glucosyltransferase,QM012_000542,405
A0ABR0TW26,FACT complex subunit,QM012_000485,1023
A0ABR0TWB4,Arabinanase/levansucrase/invertase,QM012_000575,238
A0ABR0TWH0,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,QM012_000696,240
A0ABR0TX02,Uncharacterized protein,QM012_000629,350
A0ABR0TX05,Uncharacterized protein,QM012_000293,92
A0ABR0T4S7,CASP-like protein,QM012_005454,130
A0ABR0T4X4,Uncharacterized protein,QM012_005507,625
A0ABR0T5V0,Uncharacterized protein,QM012_005214,353
A0ABR0T6F6,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_004006,508
A0ABR0T759,Mmc1 C-terminal domain-containing protein,QM012_005222,742
A0ABR0T7L7,Protein kinase domain-containing protein,QM012_003681,911
A0ABR0T7S8,Nucleolar GTP-binding protein 1,QM012_003745,660
A0ABR0T7T5,Coatomer subunit delta,QM012_004029,513
A0ABR0T7W1,Protein-lysine N-methyltransferase EFM6,EFM6,233
A0ABR0T8G6,HTH APSES-type domain-containing protein,QM012_003463,529
A0ABR0T945,C2H2-type domain-containing protein,QM012_003702,1070
A0ABR0T9A4,Enoyl reductase (ER) domain-containing protein,QM012_003107,305
A0ABR0T9C5,aldehyde dehydrogenase (NAD(+)),QM012_003300,532
A0ABR0TAP6,Transcription elongation factor SPT4,QM012_002847,119
A0ABR0TAV0,Protein kinase domain-containing protein,QM012_002899,395
A0ABR0TB74,Yeast cell wall synthesis Kre9/Knh1-like N-terminal domain-containing protein,QM012_002185,268
A0ABR0TBB2,Uncharacterized protein,QM012_002223,321
A0ABR0TBD1,RNA polymerase II holoenzyme cyclin-like subunit,QM012_002243,381
A0ABR0TBN7,NAD(P)-binding protein,QM012_002149,261
A0ABR0TCD8,non-reducing end alpha-L-arabinofuranosidase,QM012_001742,507
A0ABR0TCE0,Uncharacterized protein,QM012_001751,623
A0ABR0TCX9,AB hydrolase-1 domain-containing protein,QM012_001934,336
A0ABR0TCY4,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,QM012_001917,391
A0ABR0TD81,Bacterial surface antigen (D15) domain-containing protein,QM012_002370,509
A0ABR0TDF3,Ubiquitin-like protease family profile domain-containing protein,QM012_001945,214
A0ABR0TDI2,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001253,458
A0ABR0TDU8,Large ribosomal subunit protein uL15/eL18 domain-containing protein,QM012_001377,324
A0ABR0TDV2,Beta ketoadipyl CoA thiolase,QM012_001778,418
A0ABR0TE85,F-box domain-containing protein,QM012_001488,174
A0ABR0TEA1,PA14 domain-containing protein,QM012_001484,415
A0ABR0TEF3,SWI/SNF chromatin remodeling complex component,QM012_002003,889
A0ABR0TEL0,HCP-like protein,QM012_001613,845
A0ABR0TF14,FAD-binding PCMH-type domain-containing protein,QM012_000782,513
A0ABR0TF37,Zn(2)-C6 fungal-type domain-containing protein,QM012_000892,805
A0ABR0TFC5,SCP2 domain-containing protein,QM012_000980,128
A0ABR0TFG5,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",QM012_001607,440
A0ABR0TFI2,SH3 domain-containing protein,QM012_000869,400
A0ABR0TFN3,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001085,199
A0ABR0TFS4,Enoyl reductase (ER) domain-containing protein,QM012_001052,350
A0ABR0TFW8,Uncharacterized protein,QM012_001179,542
A0ABR0TG08,ABM domain-containing protein,QM012_000796,123
A0ABR0TG29,Uncharacterized protein,QM012_001670,448
A0ABR0TGA5,Importin N-terminal domain-containing protein,QM012_009244,1049
A0ABR0TGA8,Uncharacterized protein,QM012_009221,241
A0ABR0TGS3,NAD-dependent epimerase/dehydratase domain-containing protein,QM012_000956,336
A0ABR0TGV3,Lysophospholipase NTE1,QM012_009435,1527
A0ABR0TGV4,Mediator of RNA polymerase II transcription subunit 11,MED11,187
A0ABR0TGX0,Mitochondrial carrier,QM012_009454,336
A0ABR0TH70,DNA repair protein Rhp26/Rad26,QM012_009365,1266
A0ABR0THF5,Apple domain-containing protein,QM012_008723,679
A0ABR0THK6,Uncharacterized protein,QM012_009500,172
A0ABR0THT2,Uncharacterized protein,QM012_008848,184
A0ABR0TI54,BTB domain-containing protein,QM012_008963,301
A0ABR0TI81,Uncharacterized protein,QM012_008682,224
A0ABR0TIP0,"homogentisate 1,2-dioxygenase",QM012_008168,411
A0ABR0TIX3,SAP domain-containing protein,QM012_008760,292
A0ABR0TJ19,Translation machinery-associated protein 22,QM012_009089,649
A0ABR0TJA5,CXC domain-containing protein,QM012_009016,283
A0ABR0TJE1,Uncharacterized protein,QM012_008875,203
A0ABR0TJS7,Restriction of telomere capping protein 4,QM012_008995,499
A0ABR0TJV4,HTH La-type RNA-binding domain-containing protein,QM012_008479,379
A0ABR0TK23,LCCL domain-containing protein,QM012_008298,635
A0ABR0TK45,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_009150,486
A0ABR0TKA6,NAD binding Rossmann fold oxidoreductase,QM012_007669,523
A0ABR0TKG6,Signal recognition particle 54 kDa protein,QM012_008247,535
A0ABR0TL05,non-specific serine/threonine protein kinase,QM012_008462,652
A0ABR0TM50,Class V myosin,QM012_007166,2395
A0ABR0TMC0,Partial AB-hydrolase lipase domain-containing protein,QM012_007241,704
A0ABR0TN03,Acriflavine resistance protein B,QM012_007354,913
A0ABR0TN04,Knr4/Smi1-like domain-containing protein,QM012_007460,467
A0ABR0TN54,Uncharacterized protein,QM012_007515,632
A0ABR0TN75,Histone chaperone,QM012_007509,282
A0ABR0TNB3,Polynucleotide 5'-hydroxyl-kinase GRC3,QM012_007539,705
A0ABR0TNS1,Mitochondrial carrier,QM012_007531,430
A0ABR0TNX6,Spindle pole body component,QM012_006538,707
A0ABR0TPM0,Uncharacterized protein,QM012_006793,257
A0ABR0TPS8,Clavaminate synthase-like protein,QM012_006863,346
A0ABR0TQ87,Folliculin-interacting protein N-terminal domain-containing protein,QM012_006839,1308
A0ABR0TQ90,Translation machinery-associated protein 20,QM012_006902,194
A0ABR0TQL1,COP9 signalosome complex subunit 12,QM012_005745,542
A0ABR0TQV4,KOW domain-containing protein,QM012_006735,354
A0ABR0TQY3,"ATPase inhibitor, mitochondrial",QM012_005692,96
A0ABR0TRQ4,Fe2OG dioxygenase domain-containing protein,QM012_006955,681
A0ABR0TRR2,Pre-mRNA-splicing factor 18,QM012_006147,368
A0ABR0TRU3,Mediator of RNA polymerase II transcription subunit 5,MED5,1023
A0ABR0TS31,Transcription factor,QM012_005688,652
A0ABR0TS51,3-hydroxyacyl-CoA dehydrogenase type-2,QM012_006240,263
A0ABR0TS65,Acyltransferase 3 domain-containing protein,QM012_005960,520
A0ABR0TSV3,Uncharacterized protein,QM012_004316,189
A0ABR0TSW4,Deacetylase sirtuin-type domain-containing protein,QM012_004331,563
A0ABR0TT58,Piwi-domain-containing protein,QM012_006354,924
A0ABR0TTI0,DUF431-domain-containing protein,QM012_004600,205
A0ABR0TU30,V-type proton ATPase subunit D,QM012_004798,258
A0ABR0TUI7,G-patch domain-containing protein,QM012_000032,225
A0ABR0TUR0,Uncharacterized protein,QM012_000096,503
A0ABR0TUS8,Uncharacterized protein,QM012_004459,339
A0ABR0TVF7,WD40 repeat-like protein,QM012_004649,342
A0ABR0TVL6,Glycerate dehydrogenase,QM012_000119,330
A0ABR0TWU7,FAD-binding PCMH-type domain-containing protein,QM012_000755,513
A0ABR0TX60,DUF914-domain-containing protein,QM012_000595,418
A0A1A7MJ80,ADP-ribosylation factor,QM012_006679,183
A0A4S9W8N5,Uncharacterized protein,QM012_002663,316
A0ABR0T4Q8,Terpene synthase,QM012_005597,375
A0ABR0T521,NAD(P)-binding protein,QM012_005579,247
A0ABR0T5H8,Isopropylmalate dehydrogenase-like domain-containing protein,QM012_005095,127
A0ABR0T626,NADP-dependent oxidoreductase domain-containing protein,QM012_005442,326
A0ABR0T667,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_004985,490
A0ABR0T6M4,Chromatin-remodeling ATPase INO80,QM012_004065,1612
A0ABR0T6N9,NTF2-like protein,QM012_004093,513
A0ABR0T6P4,ATP-dependent RNA helicase-like protein dbp8,QM012_005173,537
A0ABR0T6S4,Endonuclease/exonuclease/phosphatase domain-containing protein,QM012_004047,609
A0ABR0T6S5,Uncharacterized protein,QM012_004121,131
A0ABR0T6V7,GrpE protein homolog,QM012_003813,229
A0ABR0T6Y1,F-box domain-containing protein,QM012_005176,767
A0ABR0T760,3-hydroxyacyl-CoA dehydrogenase,QM012_003921,625
A0ABR0T7A3,Glycoside hydrolase,QM012_003949,535
A0ABR0T7E5,Uncharacterized protein,QM012_003608,336
A0ABR0T7V4,Transcription factor domain-containing protein,QM012_003773,399
A0ABR0T9I6,Carboxylic ester hydrolase,QM012_003360,595
A0ABR0T9I8,Eukaryotic translation initiation factor 1A,QM012_003132,148
A0ABR0T9Q7,Glutathione S-transferase,QM012_003456,255
A0ABR0TA19,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_003235,599
A0ABR0TA26,Uncharacterized protein,QM012_002625,147
A0ABR0TAH0,Amidase signature enzyme,QM012_002764,643
A0ABR0TAM1,Exosome complex component N-terminal domain-containing protein,QM012_002770,339
A0ABR0TB42,Roadblock/LAMTOR2 domain-containing protein,QM012_003244,132
A0ABR0TBB6,ARF/SAR superfamily,QM012_002233,182
A0ABR0TBC9,Peptidase A1 domain-containing protein,QM012_002763,556
A0ABR0TBK3,DUF7605 domain-containing protein,QM012_002838,978
A0ABR0TBM9,CN hydrolase domain-containing protein,QM012_002686,356
A0ABR0TC81,Uncharacterized protein,QM012_002392,253
A0ABR0TCA1,"D-xylose 1-dehydrogenase (NADP(+), D-xylono-1,5-lactone-forming)",QM012_002374,397
A0ABR0TD12,Integral membrane protein,QM012_001964,119
A0ABR0TDH1,Apple domain-containing protein,QM012_001835,360
A0ABR0TDI1,Alpha/beta-hydrolase,QM012_002475,957
A0ABR0TDK5,CFEM domain-containing protein,QM012_001972,209
A0ABR0TDP2,DUF3445 domain-containing protein,QM012_001303,361
A0ABR0TDT6,Glycerol-3-phosphate dehydrogenase [NAD(+)],QM012_001329,414
A0ABR0TDU3,Mannose-6-phosphate isomerase,QM012_002047,413
A0ABR0TDW0,serine--tRNA ligase,QM012_001252,478
A0ABR0TDX4,Zn(2)-C6 fungal-type domain-containing protein,QM012_001379,729
A0ABR0TEU4,HNH nuclease domain-containing protein,QM012_000785,308
A0ABR0TF27,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_000889,561
A0ABR0TFN2,Uncharacterized protein,QM012_001470,234
A0ABR0TFS1,Urease,QM012_000959,837
A0ABR0TGN0,Phytase A,QM012_001036,463
A0ABR0TGX8,CN hydrolase domain-containing protein,QM012_009275,308
A0ABR0TGY5,Sodium/calcium exchanger membrane region domain-containing protein,QM012_009461,812
A0ABR0THQ6,E2 ubiquitin-conjugating enzyme,QM012_009212,151
A0ABR0THS4,Apple domain-containing protein,QM012_008747,367
A0ABR0THX3,Uncharacterized protein,QM012_008889,194
A0ABR0TI01,Heavy metal tolerance protein,QM012_009316,984
A0ABR0TI37,Uncharacterized protein,QM012_009396,337
A0ABR0TIT1,Enoyl-CoA hydratase,QM012_008205,277
A0ABR0TIY2,Meiotically up-regulated gene 190 protein,QM012_008275,1294
A0ABR0TJ59,Cryptic loci regulator 2 N-terminal domain-containing protein,QM012_008350,78
A0ABR0TKJ3,STE24 endopeptidase,QM012_007716,86
A0ABR0TKV0,GTP cyclohydrolase 1,QM012_008382,321
A0ABR0TKY9,Peroxin 11C,QM012_007895,284
A0ABR0TL97,DNA repair protein RAD10,QM012_008000,369
A0ABR0TLB6,Response regulatory domain-containing protein,QM012_007921,1308
A0ABR0TLP6,Uncharacterized protein,QM012_007785,372
A0ABR0TLS3,Hydrophobin,QM012_007629,179
A0ABR0TLS7,3-hydroxyacyl-CoA dehydrogenase-like protein,QM012_007040,616
A0ABR0TM11,Anaphase-promoting complex subunit 13,QM012_007905,103
A0ABR0TMM5,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008130,568
A0ABR0TN82,PRISE-like Rossmann-fold domain-containing protein,QM012_007545,408
A0ABR0TN97,VPS37 C-terminal domain-containing protein,QM012_008139,250
A0ABR0TNF0,"Alpha-1,6-mannosyltransferase subunit",QM012_007062,390
A0ABR0TNH1,F-box domain-containing protein,QM012_006394,321
A0ABR0TNQ1,RRM domain-containing protein,QM012_007501,869
A0ABR0TNU1,Zn(2)-C6 fungal-type domain-containing protein,QM012_006515,718
A0ABR0TPD5,UDP-N-acetylglucosamine transferase subunit ALG14,ALG14,237
A0ABR0TPI5,Uncharacterized protein,QM012_006755,716
A0ABR0TPQ3,Sas10 C-terminal domain-containing protein,QM012_006844,622
A0ABR0TPZ4,DNA/RNA-binding protein Kin17 WH-like domain-containing protein,QM012_006420,341
A0ABR0TQH7,Flap endonuclease 1,QM012_005716,393
A0ABR0TR52,MYND-type zinc finger protein samB,QM012_005924,647
A0ABR0TR90,MAP kinase kinase kinase,QM012_006806,1394
A0ABR0TRJ7,BAH domain-containing protein,QM012_006060,350
A0ABR0TRT6,Rhodopsin domain-containing protein,QM012_006161,420
A0ABR0TS26,F-box domain-containing protein,QM012_005915,486
A0ABR0TSB0,Uncharacterized protein,QM012_005828,754
A0ABR0TSC1,Oxidation resistance protein 1,QM012_006357,353
A0ABR0TSH1,EngB-type G domain-containing protein,QM012_004202,370
A0ABR0TSX4,AP complex subunit beta,QM012_004375,711
A0ABR0TT36,Hypercellular protein-like protein HypA,QM012_004203,470
A0ABR0TT40,ABC1 atypical kinase-like domain-containing protein,QM012_004437,581
A0ABR0TTC0,Peptidase S59 domain-containing protein,QM012_004537,1952
A0ABR0TTE7,Cation-transporting P-type ATPase N-terminal domain-containing protein,QM012_004517,1130
A0ABR0TTH2,EamA domain-containing protein,QM012_004569,526
A0ABR0TTZ3,Protein transport protein Sec61 subunit beta,QM012_006318,128
A0ABR0TUZ2,DNA 3'-5' helicase,QM012_004519,907
A0ABR0TV17,Uncharacterized protein,QM012_000229,440
A0ABR0TW35,"Ribosome-releasing factor 2, mitochondrial",MEF2,821
A0ABR0TWA9,PXA domain-containing protein,QM012_000088,1066
A0ABR0TWJ2,F-box domain-containing protein,QM012_000163,234
A0ABR0TWJ3,F-box domain-containing protein,QM012_000738,458
A0ABR0TX21,Membrane-associated proteins in eicosanoid and glutathione metabolism,QM012_000399,149
A0ABR0TXB9,Imidazoleglycerol-phosphate dehydratase,QM012_000534,128
A0ABR0T479,P-loop containing nucleoside triphosphate hydrolase protein,QM012_005618,739
A0ABR0T4G7,WSC domain-containing protein,QM012_005622,2063
A0ABR0T4P9,XPG N-terminal domain-containing protein,QM012_005548,701
A0ABR0T5W8,F-box domain-containing protein,QM012_005135,510
A0ABR0T6H4,Cyclase,QM012_005098,337
A0ABR0T720,Mif2 N-terminal domain-containing protein,QM012_003875,391
A0ABR0T738,Glucanase,QM012_003811,461
A0ABR0T7Y0,Uncharacterized protein,QM012_003663,313
A0ABR0T7Z6,USP domain-containing protein,QM012_004089,2436
A0ABR0T867,Zn(2)-C6 fungal-type domain-containing protein,QM012_003356,624
A0ABR0T8M1,DUF917-domain-containing protein,QM012_003631,952
A0ABR0T904,DNA primase,QM012_003579,502
A0ABR0T9W7,W2 domain-containing protein,QM012_002562,367
A0ABR0T9X2,Helicase ATP-binding domain-containing protein,QM012_003545,1098
A0ABR0TAF3,Uncharacterized protein,QM012_003084,203
A0ABR0TAU2,Apc15p protein-domain-containing protein,QM012_002892,350
A0ABR0TBL1,Uncharacterized protein,QM012_002737,285
A0ABR0TCF3,Uridine permease,QM012_002467,560
A0ABR0TCQ7,vesicle-fusing ATPase,QM012_002205,435
A0ABR0TD53,Exocyst complex component SEC5,QM012_001992,1035
A0ABR0TDG4,ATP-binding cassette glutathione S-conjugate transporter,QM012_001228,1540
A0ABR0TDP9,Uncharacterized protein,QM012_001313,467
A0ABR0TE48,Uncharacterized protein,QM012_001863,139
A0ABR0TED3,"Alpha-1,3-glucosyltransferase",QM012_001277,589
A0ABR0TEJ2,Increased loss of mitochondrial DNA protein 1,QM012_001507,182
A0ABR0TEY7,Zn(2)-C6 fungal-type domain-containing protein,QM012_000838,282
A0ABR0TF68,Transcription factor domain-containing protein,QM012_000923,583
A0ABR0TFF1,PNPLA domain-containing protein,QM012_001013,523
A0ABR0TFG9,Aminoacyl-transfer RNA synthetases class-II family profile domain-containing protein,QM012_000854,624
A0ABR0TG64,Xanthine/uracil permease family protein-like protein,QM012_009199,587
A0ABR0TGB0,HECT-type E3 ubiquitin transferase,QM012_001002,938
A0ABR0TGC9,SURP motif domain-containing protein,QM012_009269,825
A0ABR0TGD1,NAD(P)-binding protein,QM012_001017,206
A0ABR0TGD3,t-SNARE coiled-coil homology domain-containing protein,QM012_000870,103
A0ABR0TGG4,Protein RER1,QM012_009298,172
A0ABR0TGH8,Nudix hydrolase domain-containing protein,QM012_009315,345
A0ABR0TGW2,Betaine lipid synthase,QM012_009260,822
A0ABR0TGX5,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001015,531
A0ABR0TGY7,Protein PBDC1 homolog,QM012_001065,148
A0ABR0THI0,NADH-cytochrome b5 reductase,QM012_001225,347
A0ABR0THI2,RRM domain-containing protein,QM012_008748,315
A0ABR0THQ7,F-box domain-containing protein,QM012_008812,129
A0ABR0THR7,Mitochondrial adapter protein MCP1 transmembrane domain-containing protein,QM012_009438,313
A0ABR0TI59,Phosphogluconate dehydrogenase NAD-binding putative C-terminal domain-containing protein,QM012_008975,256
A0ABR0TI66,Uncharacterized protein,QM012_009588,81
A0ABR0TIA5,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008989,541
A0ABR0TIL2,Mitochondrial import inner membrane translocase subunit TIM50,QM012_009526,609
A0ABR0TIS0,C2 domain-containing protein,QM012_008715,1120
A0ABR0TJ41,Spindle assembly checkpoint component MAD1,QM012_008336,870
A0ABR0TJ57,Uncharacterized protein,QM012_008345,337
A0ABR0TJU8,Macro domain-containing protein,QM012_008541,307
A0ABR0TJY8,Uncharacterized protein,QM012_009041,301
A0ABR0TK63,Enoyl reductase (ER) domain-containing protein,QM012_007625,339
A0ABR0TKC8,Structure-specific endonuclease subunit SLX1 C-terminal domain-containing protein,QM012_008403,252
A0ABR0TKD1,Condensin complex subunit 1,QM012_008659,1237
A0ABR0TKE9,Matrin-type domain-containing protein,QM012_008267,499
A0ABR0TKL4,Uncharacterized protein,QM012_007778,476
A0ABR0TL30,Cation transporting ATPase,QM012_008458,1312
A0ABR0TLT7,Fumarylacetoacetase,QM012_008086,431
A0ABR0TLZ5,CIP1 helical domain-containing protein,QM012_007961,660
A0ABR0TM68,WD40 repeat-like protein,QM012_007185,561
A0ABR0TM94,Uncharacterized protein,QM012_007795,492
A0ABR0TN93,DUF1275 domain protein,QM012_007560,202
A0ABR0TND6,Cytochrome P450,QM012_006373,521
A0ABR0TNF5,Uncharacterized protein,QM012_006388,279
A0ABR0TP13,RING-type domain-containing protein,QM012_006589,765
A0ABR0TPA7,NADH-ubiquinone oxidoreductase 21.3 kDa subunit C-terminal domain-containing protein,QM012_007363,194
A0ABR0TPD7,Calponin-homology (CH) domain-containing protein,QM012_007393,1031
A0ABR0TPP9,Aldolase,QM012_006644,319
A0ABR0TPT9,Phosphatidylinositol-specific phospholipase C X domain-containing protein,QM012_006878,481
A0ABR0TPW6,SGTA homodimerisation domain-containing protein,QM012_006903,362
A0ABR0TPY9,Glycosyltransferase 2-like domain-containing protein,QM012_007588,811
A0ABR0TQD7,Cora-domain-containing protein,QM012_005653,829
A0ABR0TQX2,HAUS augmin-like complex subunit 6 N-terminal domain-containing protein,QM012_005863,483
A0ABR0TQX5,H/ACA ribonucleoprotein complex subunit 2,QM012_006750,221
A0ABR0TR21,Carboxypeptidase,QM012_005770,629
A0ABR0TR38,Coatomer subunit epsilon,QM012_006972,304
A0ABR0TRI9,Cora-domain-containing protein,QM012_006073,627
A0ABR0TRK5,DSC E3 ubiquitin ligase complex subunit 2,QM012_006087,266
A0ABR0TRM4,Ams2/SPT21 N-terminal domain-containing protein,QM012_005917,1091
A0ABR0TS98,DUF1750-domain-containing protein,QM012_005813,674
A0ABR0TSK7,Pre-mRNA polyadenylation factor Fip1 domain-containing protein,QM012_004243,373
A0ABR0TSN7,Uncharacterized protein,QM012_005899,230
A0ABR0TSZ2,Conidiation protein 6,QM012_006200,139
A0ABR0TT79,Phosphatidylserine decarboxylase proenzyme 2,PSD2,1114
A0ABR0TTA2,YEATS domain-containing protein,QM012_006109,230
